geogname	lat	long
Chemin de Ceinture du Lac Supérieur	48.8568485	2.2562933
Chemin de la Croix Catelan	48.8648592	2.2550346
Chemin de l'Abbaye	48.8664855	2.2339381
Chemin de Suresnes À Bagatelle	48.8678775	2.2388804
Chemin des Gravilliers	48.858689	2.2407655
Chemin des Pépinières	48.8564513	2.2276124
Chemin des Réservoirs	48.8596435	2.2399765
Chemin des Vieux Chênes	48.8527343	2.2511238
Chemin du Cimetière	48.8253268	2.4133073
Chemin du Clos de Paris, France	48.983679	2.3350137
Chemin du Parc de Charonne	48.8610737	2.4037747
Chemin du Pavillon d'Armenonville	48.8757245	2.2756293
Cité Adrienne	48.8586861	2.4012835
Cité Annibal	48.8271964	2.3322601
Cité Antoine Loubeyre	48.8710283	2.388603
Cité Aubry	48.8574301	2.3964255
Cité Bauer	48.8318567	2.3195418
Cité Beauharnais	48.8535937	2.3891872
Cité Bergère	48.8719679	2.3435672
Cité Berryer	48.8693743	2.3221531
Cité Bertrand	48.8640447	2.3817129
Cité Blanche	48.8294499	2.3081957
Cité Champagne	48.8535139	2.4044962
Cité Chaptal	48.8813989	2.3331129
Cité Charles Godon	48.8792737	2.3410143
Cité Condorcet	48.8795039	2.3449774
Cité d'Angoulême	48.866943	2.3745451
Cité d'Antin	48.8738255	2.3344211
Cité d'Austerlitz	48.842052	2.3625868
Cité de Chabrol	48.8764515	2.3538581
Cité de Crussol	48.8639149	2.3678078
Cité de la Chapelle	48.8872625	2.3581512
Cité de la Mairie	48.8847374	2.3404179
Cité de la Roquette	48.8552165	2.3737553
Cité de l'Alma	48.8608307	2.3022408
Cité de l'Ameublement	48.8515582	2.3856822
Cité de l'Avenir	48.8657707	2.3833295
Cité de l'Ermitage	48.8696344	2.3925179
Cité de Londres	48.8766589	2.3293233
Cité de Magenta	48.8715425	2.3592505
Cité de Phalsbourg	48.8556708	2.3852545
Cité de Port-Royal	48.8376358	2.3449442
Cité de Pusy	48.8878408	2.3109542
Cité de Trévise	48.8750319	2.3468456
Cité de Varenne	48.8538246	2.3215172
Cité Debergue	48.8458359	2.4042204
Cité des Fleurs	48.8926798	2.320351
Cité des Trois Bornes	48.8674468	2.3717433
Cité d'Hauteville	48.8767639	2.35213
Cité d'Orsel	48.8843123	2.3426356
Cité du Cardinal Lemoine	48.8487361	2.3530802
Cité du Couvent	48.854784	2.3838333
Cité du Général Négrier	48.8579065	2.3072778
Cité du Labyrinthe	48.8669345	2.3859462
Cité du Midi	48.883943	2.3359773
Cité du Palais Royal de Belleville	48.8764028	2.3905542
Cité du Rendez-Vous	48.8455112	2.4040929
Cité du Retiro	48.8692856	2.3213962
Cité du Wauxhall	48.8691728	2.3626912
Cité Dubourg	48.8626846	2.4011002
